Date,GMERTRB
2019-05-04,41.2375
2019-05-03,57.9222
2019-05-02,60.2735
2019-05-01,60.1374
2019-04-30,46.3031
2019-04-29,52.7166
2019-04-28,50.9456
2019-04-27,37.7776
2019-04-26,45.9003
2019-04-25,51.6773
2019-04-24,45.4952
2019-04-23,55.7137
2019-04-21,35.2035
2019-04-20,39.863
2019-04-18,50.9126
2019-04-17,55.0912
2019-04-16,59.5531
2019-04-15,58.269
2019-04-14,55.4988
2019-04-13,55.812
2019-04-12,55.6811
2019-04-11,61.342
2019-04-10,61.1475
2019-04-09,60.7401
2019-04-08,57.2806
2019-04-07,55.0762
2019-04-06,53.0708
2019-04-05,52.7916
2019-04-04,52.3113
2019-04-03,56.9159
2019-04-02,60.1415
2019-04-01,58.0085
2019-03-31,59.3425
2019-03-30,49.6447
2019-03-29,49.4155
2019-03-28,55.8172
2019-03-27,49.2753
2019-03-26,50.7955
2019-03-25,51.3518
2019-03-24,49.3361
2019-03-23,47.3628
2019-03-22,46.8881
2019-03-21,54.522
2019-03-20,51.3985
2019-03-19,54.7468
2019-03-18,61.3702
2019-03-17,54.7477
2019-03-16,56.3016
2019-03-15,46.7139
2019-03-14,57.4568
2019-03-13,57.2284
2019-03-12,59.7592
2019-03-11,50.6268
2019-03-10,47.7728
2019-03-09,44.0495
2019-03-08,53.7443
2019-03-07,58.1887
2019-03-06,54.2205
2019-03-05,59.678
2019-03-04,58.3769
2019-03-03,49.5715
2019-03-02,53.0852
2019-03-01,50.8868
2019-02-28,54.7111
2019-02-27,59.9783
2019-02-26,54.8307
2019-02-25,57.7106
2019-02-24,57.3871
2019-02-23,45.5833
2019-02-22,50.6553
2019-02-21,58.1161
2019-02-20,62.374
2019-02-19,59.6447
2019-02-18,58.3821
2019-02-17,62.8022
2019-02-16,56.6706
2019-02-15,53.7814
2019-02-14,55.2076
2019-02-13,57.1294
2019-02-12,54.1659
2019-02-11,57.8872
2019-02-10,50.8365
2019-02-09,51.7801
2019-02-08,65.862
2019-02-07,62.6516
2019-02-06,64.8329
2019-02-05,56.1919
2019-02-04,59.3512
2019-02-03,65.4501
2019-02-02,54.7093
2019-02-01,55.6021
2019-01-31,65.0575
2019-01-30,63.924
2019-01-29,71.2053
2019-01-28,70.569
2019-01-27,61.0105
2019-01-26,62.8482
2019-01-25,61.5127
2019-01-24,69.5013
2019-01-23,83.241
2019-01-22,77.1138
2019-01-21,71.8201
2019-01-20,72.5383
2019-01-19,65.9789
2019-01-18,69.0391
2019-01-17,71.1711
2019-01-16,69.2746
2019-01-15,72.3902
2019-01-14,71.9345
2019-01-13,64.9212
2019-01-12,65.4563
2019-01-11,66.3761
2019-01-10,70.4643
2019-01-09,71.9792
2019-01-08,70.4662
2019-01-07,76.4204
2019-01-06,68.684
2019-01-05,58.8884
2019-01-04,68.2342
2019-01-03,67.2346
2019-01-02,59.7391
2018-12-31,44.1021
2018-12-30,58.8324
2018-12-29,66.8708
2018-12-28,60.4738
2018-12-27,64.3638
2018-12-26,65.1799
2018-12-25,57.716
2018-12-24,47.7334
2018-12-23,57.9972
2018-12-22,62.4721
2018-12-21,60.8312
2018-12-20,69.0011
2018-12-19,72.0808
2018-12-18,77.2604
2018-12-17,66.7492
2018-12-16,72.5302
2018-12-15,63.5805
2018-12-14,65.6282
2018-12-13,76.5626
2018-12-12,74.5367
2018-12-11,75.2048
2018-12-10,65.0283
2018-12-09,58.6439
2018-12-08,53.817
2018-12-07,50.7436
2018-12-06,69.2798
2018-12-05,72.1646
2018-12-04,65.0229
2018-12-03,65.9755
2018-12-02,66.9347
2018-12-01,67.2839
2018-11-30,69.274
2018-11-29,71.3893
2018-11-28,63.5567
2018-11-27,60.6105
2018-11-26,72.2241
2018-11-25,71.0959
2018-11-24,59.8135
2018-11-23,66.0503
2018-11-22,79.7403
2018-11-21,86.542
2018-11-20,75.4352
2018-11-19,79.2104
2018-11-18,74.5841
2018-11-17,63.431
2018-11-16,65.4528
2018-11-15,68.1454
2018-11-14,66.4644
2018-11-13,64.9524
2018-11-12,65.6719
2018-11-11,65.06
2018-11-10,59.513
2018-11-09,60.9399
2018-11-08,63.1446
2018-11-07,63.0736
2018-11-06,61.3554
2018-11-05,63.8588
2018-11-04,62.7422
2018-11-03,55.7195
2018-11-02,60.8111
2018-11-01,66.1834
2018-10-31,60.6584
2018-10-30,72.1932
2018-10-29,71.4792
2018-10-28,68.5646
2018-10-27,56.6355
2018-10-26,65.1554
2018-10-25,72.9416
2018-10-24,74.4263
2018-10-23,74.7837
2018-10-22,72.2974
2018-10-21,75.4351
2018-10-20,64.8529
2018-10-19,69.9243
2018-10-18,78.3543
2018-10-17,76.0891
2018-10-16,87.286
2018-10-15,79.1855
2018-10-14,74.588
2018-10-13,62.6078
2018-10-12,68.221
2018-10-11,73.4752
2018-10-10,77.2924
2018-10-09,78.7086
2018-10-08,83.0795
2018-10-07,77.5602
2018-10-06,73.1264
2018-10-05,80.013
2018-10-04,76.7363
2018-10-03,76.92
2018-10-02,77.9342
2018-10-01,79.1389
2018-09-30,73.7001
2018-09-29,65.6109
2018-09-28,67.7567
2018-09-27,74.7824
2018-09-26,77.9621
2018-09-25,79.145
2018-09-24,76.9978
2018-09-23,79.1458
2018-09-22,67.783
2018-09-21,78.4023
2018-09-20,92.487
2018-09-19,80.9026
2018-09-18,80.2516
2018-09-17,81.3725
2018-09-16,81.1206
2018-09-15,67.3663
2018-09-14,74.0568
2018-09-13,83.6099
2018-09-12,91.2554
2018-09-11,87.7858
2018-09-10,77.6519
2018-09-09,89.1514
2018-09-08,68.816
2018-09-07,69.852
2018-09-06,76.3727
2018-09-05,74.7615
2018-09-04,74.1137
2018-09-03,70.3571
2018-09-02,69.0729
2018-09-01,64.6548
2018-08-31,66.9369
2018-08-30,73.5801
2018-08-29,74.5508
2018-08-28,70.0555
2018-08-27,68.4772
2018-08-26,65.6675
2018-08-25,58.6634
2018-08-24,66.1394
2018-08-23,67.4032
2018-08-22,69.1207
2018-08-21,70.6149
2018-08-20,69.3895
2018-08-19,69.0794
2018-08-18,61.3776
2018-08-17,61.5529
2018-08-16,63.9378
2018-08-15,66.9316
2018-08-14,64.7057
2018-08-13,64.7047
2018-08-12,63.8073
2018-08-11,62.8773
2018-08-10,63.1643
2018-08-09,68.8494
2018-08-08,67.0733
2018-08-07,73.1921
2018-08-06,69.7073
2018-08-05,71.0671
2018-08-04,67.563
2018-08-03,66.9179
2018-08-02,72.682
2018-08-01,73.3761
2018-07-31,72.8591
2018-07-30,67.7716
2018-07-29,70.3497
2018-07-28,56.3935
2018-07-27,63.1493
